log_message,stack_trace,test_name,error_type,duration_ms,retry_count,memory_mb,cpu_percent,line_number,file_count,test_count,failure_rate_history,time_since_last_success,network_latency_ms,db_response_time_ms,queue_size,component,environment,severity,build_tool,os,language,ci_platform,trigger_type,branch_type,day_of_week,is_timeout,is_network_error,has_retry,is_first_run,parallel_execution,has_external_dependency,is_flaky
Array index 359 out of bounds for length 37,"java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.user.UserService.handle(UserService.java:473)
    at com.example.user.UserHandler.convert(UserHandler.java:263)
    at com.example.test.ReadUserUserTest.test_read_user_user(ReadUserUserTest.java:138)",test_read_user_user,IllegalStateException,546,0,135,27,322,41,13,0.177,120.14,152,34,254,user,prod,warning,go,linux,python,github_actions,manual,hotfix,friday,0,0,0,0,0,1,0
State machine in invalid state: ERROR,"org.apache.http.conn.ConnectTimeoutException: Connect to notification.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.notification.HttpClient.execute(HttpClient.java:82)
    at com.example.test.AuthorizeResponseNotificationTest.test_authorize_response_notification(AuthorizeResponseNotificationTest.java:123)",test_authorize_response_notification,IndexOutOfBoundsException,1923,0,208,11,598,45,382,0.444,139.17,6,30,872,notification,integration,critical,cargo,windows,go,jenkins,pull_request,feature,monday,0,0,0,0,0,0,0
Division by zero in execute at CacheService.java:442,"java.lang.IndexOutOfBoundsException: Index 62 out of bounds for length 36
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.cache.CacheService.execute(CacheService.java:301)
    at com.example.test.ReadConfigCacheTest.test_read_config_cache(ReadConfigCacheTest.java:80)",test_read_config_cache,ConfigurationException,760,2,429,20,732,42,297,0.481,27.34,64,67,892,cache,integration,critical,cargo,macos,javascript,gitlab_ci,manual,release,saturday,1,0,0,0,0,0,0
Division by zero in handle at NotificationService.java:237,"java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.notification.NotificationService.handle(NotificationService.java:297)
    at com.example.test.TransformPaymentNotificationTest.test_transform_payment_notification(TransformPaymentNotificationTest.java:31)",test_transform_payment_notification,IndexOutOfBoundsException,3324,0,311,37,443,25,376,0.489,58.7,51,88,280,notification,test,warning,gradle,windows,rust,gitlab_ci,tag,hotfix,tuesday,0,1,1,1,0,1,0
Async operation timed out but completed successfully on retry,"java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.queue.QueueService.run(QueueService.java:471)
    at com.example.test.AuthenticateOrderQueueTest.test_authenticate_order_queue(AuthenticateOrderQueueTest.java:63)",test_authenticate_order_queue,RaceConditionException,3681,0,571,4,89,10,386,0.407,9.54,83,21,49,queue,integration,info,go,linux,javascript,circleci,schedule,feature,friday,0,0,0,1,0,0,1
Socket connection reset by peer during write,,test_authenticate_connection_storage,IndexOutOfBoundsException,1854,2,325,17,321,20,346,0.378,6.52,67,42,490,storage,prod,error,cargo,linux,java,github_actions,manual,feature,sunday,0,0,0,0,1,1,1
Assertion failed: list.size() > 0 was false,,test_authenticate_user_payment,MissingFieldException,773,0,753,11,990,17,75,0.541,49.29,24,43,389,payment,staging,error,cargo,linux,kotlin,github_actions,push,develop,sunday,0,0,0,0,0,0,0
"Connection to kafka timed out after 30000ms, retry attempt 1","org.apache.http.conn.ConnectTimeoutException: Connect to analytics.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.analytics.HttpClient.execute(HttpClient.java:65)
    at com.example.test.AuthorizeCacheAnalyticsTest.test_authorize_cache_analytics(AuthorizeCacheAnalyticsTest.java:94)",test_authorize_cache_analytics,SecurityException,472,1,300,23,416,8,223,0.579,6.61,32,60,868,analytics,test,warning,gradle,macos,go,gitlab_ci,tag,release,tuesday,0,0,1,1,1,0,1
Memory pressure caused GC pause of 192ms during test,"java.lang.IndexOutOfBoundsException: Index 34 out of bounds for length 23
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.notification.NotificationService.execute(NotificationService.java:209)
    at com.example.test.ReadDataNotificationTest.test_read_data_notification(ReadDataNotificationTest.java:100)",test_read_data_notification,RetryableException,2958,1,380,21,5,38,262,0.582,46.72,79,47,178,notification,prod,error,go,windows,kotlin,gitlab_ci,manual,hotfix,sunday,1,1,0,0,0,1,1
Security violation: unauthorized access to file,"java.lang.AssertionError: expected:<200> but was:<500>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.UpdateSessionApiTest.test_update_session_api(UpdateSessionApiTest.java:142)",test_update_session_api,IllegalStateException,4523,3,383,10,25,17,322,0.295,50.25,28,28,902,api,dev,error,go,macos,rust,gitlab_ci,schedule,main,sunday,1,0,1,0,1,0,0
Circular dependency detected in session,"java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.session.SessionService.process(SessionService.java:216)
    at com.example.session.SessionHandler.convert(SessionHandler.java:360)
    at com.example.test.SearchSessionSessionTest.test_search_session_session(SearchSessionSessionTest.java:55)",test_search_session_session,IllegalStateException,4453,0,555,8,470,22,81,0.448,111.7,31,35,938,session,staging,warning,go,windows,kotlin,gitlab_ci,pull_request,feature,wednesday,0,0,0,0,0,0,0
Memory pressure caused GC pause of 63ms during test,"org.apache.http.conn.ConnectTimeoutException: Connect to notification.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.notification.HttpClient.execute(HttpClient.java:223)
    at com.example.test.SearchResponseNotificationTest.test_search_response_notification(SearchResponseNotificationTest.java:180)",test_search_response_notification,ValidationException,853,0,227,49,212,38,83,0.254,30.12,39,23,538,notification,test,error,pip,macos,rust,circleci,pull_request,release,saturday,0,0,1,0,0,0,1
Socket connection reset by peer during connect,,test_update_session_payment,ServiceUnavailableException,1113,1,96,11,861,38,113,0.274,49.84,146,9,220,payment,staging,info,npm,linux,python,travis,tag,feature,friday,1,0,1,0,0,1,1
"External API kafka returned 503, scheduled retry in 1000ms","java.lang.IndexOutOfBoundsException: Index 74 out of bounds for length 18
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.auth.AuthService.handle(AuthService.java:344)
    at com.example.test.DeleteDataAuthTest.test_delete_data_auth(DeleteDataAuthTest.java:188)",test_delete_data_auth,TypeMismatchException,9293,1,1362,7,125,43,358,0.319,23.75,60,20,478,auth,staging,critical,maven,windows,python,gitlab_ci,push,develop,sunday,0,0,0,1,1,0,0
Schema validation failed: id does not match pattern,"java.lang.IndexOutOfBoundsException: Index 6 out of bounds for length 44
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.auth.AuthService.handle(AuthService.java:81)
    at com.example.test.TransformConnectionAuthTest.test_transform_connection_auth(TransformConnectionAuthTest.java:110)",test_transform_connection_auth,TimeoutException,621,0,569,74,880,42,431,0.209,92.24,17,48,831,auth,integration,error,go,macos,javascript,github_actions,push,main,monday,1,0,0,0,0,0,0
"Resource file busy, waiting for lock release","java.util.concurrent.TimeoutException: Future timed out after 1000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.queue.AsyncService.await(AsyncService.java:290)
    at com.example.test.TransformUserQueueTest.test_transform_user_queue(TransformUserQueueTest.java:37)",test_transform_user_queue,ArithmeticException,574,2,1247,28,20,20,281,0.808,42.17,76,14,863,queue,test,warning,pip,linux,javascript,github_actions,tag,hotfix,friday,1,1,0,0,0,1,1
"Network partition simulated, connection restored after 3631ms",,test_process_connection_user,RetryableException,3870,2,161,12,808,13,420,0.446,12.65,34,116,66,user,test,warning,maven,linux,java,jenkins,manual,hotfix,tuesday,1,0,0,0,1,1,1
Array index 595 out of bounds for length 38,"java.lang.IndexOutOfBoundsException: Index 22 out of bounds for length 44
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.payment.PaymentService.execute(PaymentService.java:237)
    at com.example.test.ProcessRequestPaymentTest.test_process_request_payment(ProcessRequestPaymentTest.java:51)",test_process_request_payment,TypeMismatchException,2516,0,114,17,737,47,358,0.406,98.69,309,96,864,payment,test,warning,maven,macos,go,circleci,manual,release,monday,0,0,0,0,0,0,0
Deadlock detected between threads thread-2 and thread-18,"java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.notification.NotificationService.execute(NotificationService.java:210)
    at com.example.notification.NotificationHandler.validate(NotificationHandler.java:246)
    at com.example.test.FilterUserNotificationTest.test_filter_user_notification(FilterUserNotificationTest.java:163)",test_filter_user_notification,ConnectionResetException,2292,0,513,7,752,20,260,0.365,4.32,47,19,557,notification,integration,warning,pip,linux,java,travis,schedule,release,monday,0,0,0,0,0,1,0
Test TestUser_3 passed after 2 retries due to timing issue,"java.util.concurrent.TimeoutException: Future timed out after 3000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.user.AsyncService.await(AsyncService.java:430)
    at com.example.test.SearchOrderUserTest.test_search_order_user(SearchOrderUserTest.java:197)",test_search_order_user,TypeMismatchException,236,2,299,26,133,19,205,0.566,1.55,276,28,934,user,dev,warning,cargo,windows,rust,gitlab_ci,manual,main,wednesday,0,0,1,0,0,1,1
"Database connection pool exhausted, waiting for available connection",,test_authenticate_order_auth,NullPointerException,2632,2,2813,13,211,23,41,0.737,1.54,149,20,310,auth,integration,info,pip,macos,java,travis,tag,main,friday,0,0,1,0,1,1,1
"Service kafka temporarily unavailable, backing off for 2000ms",,test_authorize_request_cache,SecurityException,3241,0,267,14,412,28,189,0.719,192.69,46,56,35,cache,test,warning,pip,windows,kotlin,jenkins,schedule,main,friday,1,0,0,0,0,0,0
Intermittent failure in database: resource unavailable,,test_create_cache_database,NullPointerException,376,3,266,11,952,23,490,0.846,18.58,145,74,475,database,prod,error,maven,linux,kotlin,travis,tag,hotfix,wednesday,0,0,1,0,0,0,1
"Cache miss rate spike: 82%, temporary performance degradation",,test_delete_user_analytics,SocketTimeoutException,6657,3,632,30,174,9,355,0.518,0.75,109,55,813,analytics,test,error,gradle,windows,javascript,circleci,pull_request,release,tuesday,0,0,0,0,0,0,1
Memory pressure caused GC pause of 467ms during test,"java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.analytics.AnalyticsService.execute(AnalyticsService.java:432)
    at com.example.analytics.AnalyticsHandler.convert(AnalyticsHandler.java:357)
    at com.example.test.AuthorizeConnectionAnalyticsTest.test_authorize_connection_analytics(AuthorizeConnectionAnalyticsTest.java:126)",test_authorize_connection_analytics,ArithmeticException,926,0,176,9,450,42,338,0.579,65.47,53,46,530,analytics,staging,warning,go,linux,java,circleci,push,main,saturday,0,0,0,0,0,1,0
Async operation timed out but completed successfully on retry,"java.lang.IndexOutOfBoundsException: Index 12 out of bounds for length 45
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.queue.QueueService.run(QueueService.java:69)
    at com.example.test.ReadCacheQueueTest.test_read_cache_queue(ReadCacheQueueTest.java:101)",test_read_cache_queue,ServiceUnavailableException,801,0,151,12,118,46,443,0.283,13.18,98,60,979,queue,staging,warning,maven,linux,java,jenkins,schedule,feature,saturday,0,0,0,1,1,0,1
Intermittent failure in user: connection lost,,test_update_response_user,ValidationException,989,3,620,33,800,36,442,0.806,12.34,118,37,111,user,staging,error,gradle,macos,rust,circleci,push,main,wednesday,1,1,0,0,0,1,1
"Network partition simulated, connection restored after 391ms","java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.user.UserService.execute(UserService.java:470)
    at com.example.user.UserHandler.convert(UserHandler.java:433)
    at com.example.test.AuthenticateConfigUserTest.test_authenticate_config_user(AuthenticateConfigUserTest.java:70)",test_authenticate_config_user,LockContentionException,1028,0,276,40,301,46,490,0.041,18.38,31,36,724,user,prod,critical,gradle,macos,python,circleci,pull_request,feature,sunday,0,0,0,1,0,1,0
Memory leak detected: 986257 bytes not freed,"org.apache.http.conn.ConnectTimeoutException: Connect to database.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.database.HttpClient.execute(HttpClient.java:231)
    at com.example.test.ValidateConfigDatabaseTest.test_validate_config_database(ValidateConfigDatabaseTest.java:139)",test_validate_config_database,IllegalArgumentException,815,0,414,8,442,35,3,0.52,4.18,23,97,207,database,test,error,cargo,macos,javascript,travis,pull_request,feature,friday,0,0,0,0,0,0,0
Division by zero in handle at AuthService.java:451,,test_authenticate_config_auth,RetryableException,151,1,572,14,4,23,422,0.219,13.81,35,23,674,auth,integration,info,pip,macos,python,jenkins,tag,hotfix,saturday,0,0,0,0,1,0,0
State machine in invalid state: UNKNOWN,"java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.user.UserService.handle(UserService.java:59)
    at com.example.user.UserHandler.transform(UserHandler.java:162)
    at com.example.test.UpdateUserUserTest.test_update_user_user(UpdateUserUserTest.java:29)",test_update_user_user,IllegalStateException,6025,1,330,8,346,34,9,0.959,56.85,200,60,777,user,prod,error,go,macos,kotlin,circleci,tag,feature,friday,0,0,0,0,1,0,1
